,name,location,rating,num_rating,price
92,Sauternes 1968,"Sauternes, France",4.6,43 ratings,"Available online from $1,950"
93,Calliope Rare Tokay N.V.,"Rutherglen, Australia",4.6,42 ratings,Available online from $159.87
94,Pius Beerenauslese 2019,"Rheinhessen, Germany",4.6,42 ratings,Available online from $45
95,Sélection de Grains Nobles Gewürztraminer 2005,"Alsace, France",4.6,41 ratings,Available online from $101.98
96,Occhio di Pernice Vin Santo del Chianti Rufina 2009,"Chianti Rùfina, Italy",4.6,33 ratings,Available online from $53.49
97,Vin Santo di Montepulciano 1995,"Vin Santo di Montepulciano, Italy",4.6,33 ratings,Available online from $75
98,Rivesaltes 1958,"Rivesaltes, France",4.6,30 ratings,Available online from $130.31
99,Vin Santo di Montepulciano 2005,"Vin Santo di Montepulciano, Italy",4.6,25 ratings,Available online from $241.48
100,Ben Ryé Passito di Pantelleria 2017,"Passito di Pantelleria, Italy",4.5,2022 ratings,Available online from $39.99
101,Ben Ryé Passito di Pantelleria 2016,"Passito di Pantelleria, Italy",4.5,1935 ratings,Available online from $46.99
102,Ben Ryé Passito di Pantelleria 2014,"Passito di Pantelleria, Italy",4.5,1918 ratings,Available online from $37.95
103,Vin de Constance (Natural Sweet) 2007,"Constantia, South Africa",4.5,896 ratings,Available online from $95.76
104,Sauternes (Premier Grand Cru Classé) 2001,"Sauternes, France",4.5,631 ratings,Available online from $149.99
105,Barsac (Premier Grand Cru Classé) 2005,"Barsac, France",4.5,545 ratings,Available online from $89.52
106,Sauternes (Premier Grand Cru Classé) 1990,"Sauternes, France",4.5,419 ratings,Available online from $65
107,Vin de Constance (Natural Sweet) 2012,"Constantia, South Africa",4.5,360 ratings,Available online from $81.99
108,Barsac (Premier Grand Cru Classé) 2009,"Barsac, France",4.5,357 ratings,Available online from $89.12
109,Grand Constance 2016,"Constantia, South Africa",4.5,330 ratings,Available online from $79
110,Sauternes (Premier Grand Cru Classé) 1988,"Sauternes, France",4.5,329 ratings,Available online from $149
111,Tokaji Aszú 5 Puttonyos 2013,"Tokaj, Hungary",4.5,297 ratings,Available online from $99
112,Dolce (Late Harvest) 2012,"Napa Valley, United States",4.5,291 ratings,Available online from $51.95
113,Aszú 6 puttonyos 2016,"Tokaj, Hungary",4.5,270 ratings,Available online from $79.99
114,Barsac (Premier Grand Cru Classé) 2014,"Barsac, France",4.5,262 ratings,Available online from $73.33
115,Tokaji Aszú 5 Puttonyos 2010,"Tokaj, Hungary",4.5,259 ratings,Available online from $94.48
116,Sauternes (Premier Grand Cru Classé) 1983,"Sauternes, France",4.5,226 ratings,Available online from $119
117,Sauternes (Premier Grand Cru Classé) 1982,"Sauternes, France",4.5,211 ratings,Available online from $179
118,Barsac (Premier Grand Cru Classé) 2010,"Barsac, France",4.5,208 ratings,Available online from $75.37
119,Sauternes (Premier Grand Cru Classé) 1986,"Sauternes, France",4.5,202 ratings,Available online from $175
120,Sauternes (Premier Grand Cru Classé) 1990,"Sauternes, France",4.5,191 ratings,Available online from $98.91
121,Sauternes (Lur Saluces) 2002,"Sauternes, France",4.5,184 ratings,139.97
122,Barsac (Premier Grand Cru Classé) 1988,"Barsac, France",4.5,182 ratings,Available online from $147
123,Dolce (Late Harvest) 2008,"Napa Valley, United States",4.5,178 ratings,Available online from $325
124,Sauternes (Premier Grand Cru Classé) 1990,"Sauternes, France",4.5,176 ratings,Available online from $89.12
125,Sauternes (Lur Saluces) 2007,"Sauternes, France",4.5,165 ratings,Available online from $153.95
126,Tokaji 5 Puttonyos Aszú 2013,"Tokaj, Hungary",4.5,156 ratings,Available online from $37.99
127,Les Jardins de Babylone Moelleux 2009,"Jurançon, France",4.5,148 ratings,Available online from $199.99
128,Dolce (Late Harvest) 2009,"Napa Valley, United States",4.5,145 ratings,Available online from $49.99
129,Sauternes (Premier Grand Cru Classé) 1986,"Sauternes, France",4.5,142 ratings,Available online from $64
130,Sauternes (Premier Grand Cru Classé) 2004,"Sauternes, France",4.5,112 ratings,Available online from $59.99
131,Vin Santo del Chianti Classico 2009,"Vin Santo del Chianti Classico, Italy",4.5,109 ratings,Available online from $60
132,Dolce (Late Harvest) 2006,"Napa Valley, United States",4.5,106 ratings,Available online from $74.99
133,Tokaji Aszú 6 Puttonyos 1999,"Tokaj, Hungary",4.5,105 ratings,Available online from $68.99
134,Sauternes (Grand Cru Classé) 1990,"Sauternes, France",4.5,98 ratings,Available online from $51.42
135,Sauternes (Crème de Tête) 1990,"Sauternes, France",4.5,97 ratings,Available online from $225.49
136,Sauternes (Grand Cru Classé) 1988,"Sauternes, France",4.5,97 ratings,Available online from $89
137,Sauternes (Premier Grand Cru Classé) 1975,"Sauternes, France",4.5,96 ratings,Available online from $109.69
138,Szt. Tamás Single Vineyard 6 Puttonyos Aszú 2013,"Tokaj, Hungary",4.5,95 ratings,Available online from $122.99
139,Sauternes (Lur Saluces) 1997,"Sauternes, France",4.5,94 ratings,Available online from $100.85
140,Les Jardins de Babylone Moelleux 2006,"Jurançon, France",4.5,94 ratings,Available online from $130
141,Sauternes (Premier Grand Cru Classé) 2018,"Sauternes, France",4.5,93 ratings,Available online from $47.59
142,Sauternes (Lur Saluces) 2009,"Sauternes, France",4.5,92 ratings,Available online from $137.11
143,Sauternes (Lur Saluces) 1988,"Sauternes, France",4.5,89 ratings,Available online from $124.65
144,Tokaji Aszú 6 Puttonyos 2006,"Tokaj, Hungary",4.5,84 ratings,Available online from $100
145,Vouvray Le Mont Moelleux Première Trie 1989,"Vouvray, France",4.5,70 ratings,Available online from $220
146,Les Jardins de Babylone Moelleux 2014,"Jurançon, France",4.5,68 ratings,Available online from $90
147,Barsac (Grand Cru Classé) 1996,"Barsac, France",4.5,67 ratings,Available online from $68
148,Grand Constance 2010,"Constantia, South Africa",4.5,67 ratings,Available online from $129.99
149,Vergine Riserva 1988,"Marsala, Italy",4.5,65 ratings,Available online from $200
150,Sauternes (Grand Cru Classé) 1989,"Sauternes, France",4.5,65 ratings,Available online from $65.13
151,Barsac (Premier Grand Cru Classé) 2016,"Barsac, France",4.5,64 ratings,Available online from $93.95
152,Recioto Della Valpolicella Classico 2012,"Recioto della Valpolicella, Italy",4.5,62 ratings,Available online from $64.99
153,Cuvée Constance 2003,"Vouvray, France",4.5,62 ratings,Available online from $175
154,Dolce (Late Harvest) 2014,"Napa Valley, United States",4.5,61 ratings,Available online from $84.99
155,5 Puttonyos Aszú (Red Label) 2008,"Tokaj, Hungary",4.5,60 ratings,Available online from $69.56
156,Sauternes (Premier Grand Cru Classé) 1976,"Sauternes, France",4.5,59 ratings,Available online from $256.55
157,Sauternes (Premier Grand Cru Classé) 1990,"Sauternes, France",4.5,57 ratings,Available online from $78
158,Grande Cuvée Nummer 6 Nouvelle Vague Trockenbeerenauslese 2012,"Burgenland, Austria",4.5,54 ratings,Available online from $110
159,Sauternes (Crème de Tête) 1983,"Sauternes, France",4.5,52 ratings,Available online from $290
160,L'Extravagant de Doisy-Daëne Sauternes 2010,"Sauternes, France",4.5,46 ratings,Available online from $286.95
161,Sauternes (Lur Saluces) 1983,"Sauternes, France",4.5,45 ratings,Available online from $199.99
162,Late Harvest Gewürztraminer 2019,"Anderson Valley, United States",4.5,44 ratings,Available online from $43.20
163,Moscato Rubino 2018,"California, United States",4.5,42 ratings,Available online from $12.99
164,Κουμανταρία (Commandaria) 2013,"Commandaria, Cyprus",4.5,40 ratings,Available online from $51.30
165,Quarts de Chaume 1990,"Quarts de Chaume, France",4.5,39 ratings,Available online from $99.95
166,Sauvignon Blanc Late Harvest 2018,"Rutherford, United States",4.5,38 ratings,64.99
167,Sauternes (Crème de Tête) 1978,"Sauternes, France",4.5,37 ratings,Available online from $249.99
168,No. 3 Old Vines 2005,"Málaga, Spain",4.5,37 ratings,Available online from $53.95
